"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000513","2016-09","46077322","2424816828.1900001","12777121.359999999"
"000513","2016-08","73727137","3648359675.9299998","12334827.35"
"000513","2016-07","69440122","3423364364.6900001","11760786.17"
"000513","2016-06","57044085","2560637328.0700002","10847966.560000001"
"000513","2016-05","39333934","1725583097.9300001","10123357.210000001"
"000513","2016-04","52756816","2424598072.3699999","10464488.23"
"000513","2016-03","52803176","2234652472.0900002","10382092.109999999"
"000513","2016-02","36193256","1522752556.4100001","9035538.2200000007"
"000513","2016-01","78900357","3606965330.54","9077112.7899999991"
"000513","2015-12","111995676","5922406053.2799997","13264595.1"
"000513","2015-11","149425860","7372561544.5799999","10516054.58"
"000513","2015-08","12269847","807176395.39999998","12339116.91"
